date,returns,price,volume,rolling_volatility,returns_lag1,returns_lag2,returns_lag3
2001-02-01 00:00:00-05:00,0.005461131971338906,1373.469970703125,1118800000.0,0.1854032738810296,-0.005619714800495723,0.007007877475295743,0.0022580058446091122
2001-02-02 00:00:00-05:00,-0.017473989611664797,1349.469970703125,1048400000.0,0.12897092171587243,0.005461131971338906,-0.005619714800495723,0.007007877475295743
2001-02-03 00:00:00-05:00,0.0011955528209106614,1351.0833333333333,1036600000.0,0.12498845314072275,-0.017473989611664797,0.005461131971338906,-0.005619714800495723
2001-02-04 00:00:00-05:00,0.0011941251811817821,1352.6966959635417,1024800000.0,0.09595668067510744,0.0011955528209106614,-0.017473989611664797,0.005461131971338906
2001-02-05 00:00:00-05:00,0.0011927009469472338,1354.31005859375,1013000000.0,0.0957674867195562,0.0011941251811817821,0.0011955528209106614,-0.017473989611664797
2001-02-06 00:00:00-05:00,-0.0015137219243971378,1352.260009765625,1059600000.0,0.09596623791889426,0.0011927009469472338,0.0011941251811817821,0.0011955528209106614
2001-02-07 00:00:00-05:00,-0.008408142690811471,1340.8900146484375,1158300000.0,0.0999708215416474,-0.0015137219243971378,0.0011927009469472338,0.0011941251811817821
2001-02-08 00:00:00-05:00,-0.0062346540433850794,1332.530029296875,1107200000.0,0.10187587454033549,-0.008408142690811471,-0.0015137219243971378,0.0011927009469472338
2001-02-09 00:00:00-05:00,-0.013335549023706816,1314.760009765625,1075500000.0,0.10630785617623606,-0.0062346540433850794,-0.008408142690811471,-0.0015137219243971378
2001-02-10 00:00:00-05:00,0.003942430231277827,1319.943359375,1063366666.6666666,0.10249968300411035,-0.013335549023706816,-0.0062346540433850794,-0.008408142690811471
2001-02-11 00:00:00-05:00,0.0039269485107522595,1325.126708984375,1051233333.3333334,0.1014875514271358,0.003942430231277827,-0.013335549023706816,-0.0062346540433850794
2001-02-12 00:00:00-05:00,0.0039115879064484105,1330.31005859375,1039100000.0,0.10199452526303693,0.0039269485107522595,0.003942430231277827,-0.013335549023706816
2001-02-13 00:00:00-05:00,-0.008652125638884511,1318.800048828125,1075200000.0,0.10511795664500745,0.0039115879064484105,0.0039269485107522595,0.003942430231277827
2001-02-14 00:00:00-05:00,-0.002183807079300326,1315.9200439453125,1150300000.0,0.10517622257801648,-0.008652125638884511,0.0039115879064484105,0.0039269485107522595
2001-02-15 00:00:00-05:00,0.008123549341341407,1326.6099853515625,1153700000.0,0.1078208278836139,-0.002183807079300326,-0.008652125638884511,0.0039115879064484105
2001-02-16 00:00:00-05:00,-0.01890529720989631,1301.530029296875,1257200000.0,0.12071256406012382,0.008123549341341407,-0.002183807079300326,-0.008652125638884511
2001-02-17 00:00:00-05:00,-0.004339140738617631,1295.8825073242188,1220950000.0,0.11287314506783111,-0.01890529720989631,0.008123549341341407,-0.002183807079300326
2001-02-18 00:00:00-05:00,-0.004358050934970548,1290.2349853515625,1184700000.0,0.11294674328154089,-0.004339140738617631,-0.01890529720989631,0.008123549341341407
2001-02-19 00:00:00-05:00,-0.004377126675973231,1284.5874633789062,1148450000.0,0.11321112046692776,-0.004358050934970548,-0.004339140738617631,-0.01890529720989631
2001-02-20 00:00:00-05:00,-0.004396370145012374,1278.93994140625,1112200000.0,0.11342806032278552,-0.004377126675973231,-0.004358050934970548,-0.004339140738617631
2001-02-21 00:00:00-05:00,-0.018507453797223627,1255.27001953125,1208500000.0,0.12339276009078763,-0.004396370145012374,-0.004377126675973231,-0.004358050934970548
2001-02-22 00:00:00-05:00,-0.0019518296494506204,1252.8199462890625,1365900000.0,0.11463307603847782,-0.018507453797223627,-0.004396370145012374,-0.004377126675973231
2001-02-23 00:00:00-05:00,-0.005555435925262753,1245.8599853515625,1231300000.0,0.11366301846949253,-0.0019518296494506204,-0.018507453797223627,-0.004396370145012374
2001-02-24 00:00:00-05:00,0.005829986065502446,1253.1233317057292,1197800000.0,0.11631239547178787,-0.005555435925262753,-0.0019518296494506204,-0.018507453797223627
2001-02-25 00:00:00-05:00,0.005796194333306248,1260.3866780598958,1164300000.0,0.11884709564507036,0.005829986065502446,-0.005555435925262753,-0.0019518296494506204
2001-02-26 00:00:00-05:00,0.005762792070562961,1267.6500244140625,1130800000.0,0.12045578171870466,0.005796194333306248,0.005829986065502446,-0.005555435925262753
2001-02-27 00:00:00-05:00,-0.00765990835073016,1257.93994140625,1114100000.0,0.12064757002206092,0.005762792070562961,0.005796194333306248,0.005829986065502446
2001-02-28 00:00:00-05:00,-0.014309109209043602,1239.93994140625,1225300000.0,0.12435388967262173,-0.00765990835073016,0.005762792070562961,0.005796194333306248
2001-03-01 00:00:00-05:00,0.0010404044739755758,1241.22998046875,1294900000.0,0.12128380012777716,-0.014309109209043602,-0.00765990835073016,0.005762792070562961
2001-03-02 00:00:00-05:00,-0.005679790908007298,1234.1800537109375,1294000000.0,0.12129370798708487,0.0010404044739755758,-0.014309109209043602,-0.00765990835073016
2001-03-03 00:00:00-05:00,0.0019527081825192472,1236.5900472005208,1172400000.0,0.11949218653170589,-0.005679790908007298,0.0010404044739755758,-0.014309109209043602
2001-03-04 00:00:00-05:00,0.001948902544573583,1239.0000406901042,1050800000.0,0.11277721577395433,0.0019527081825192472,-0.005679790908007298,0.0010404044739755758
2001-03-05 00:00:00-05:00,0.0019451117114095418,1241.4100341796875,929200000.0,0.1130296768109983,0.001948902544573583,0.0019527081825192472,-0.005679790908007298
2001-03-06 00:00:00-05:00,0.00998059811609675,1253.800048828125,1091800000.0,0.11846139516285714,0.0019451117114095418,0.001948902544573583,0.0019527081825192472
